,x,,,,214290_s_at,ACAA1,2.340004946,,,,
205917_at,0.532893312,,,,,,,,,,
227021_at,0.533149799,,,,,,,,,,
218074_at,0.533193594,,,,,,,,,,
213021_at,0.533442744,,,,,,,,,,
223478_at,0.53349838,,,,,,,,,,
217594_at,0.533500051,,,,,,,,,,
225618_at,0.533591563,,,,,,,,,,
214326_x_at,0.533815584,,,,,,,,,,
202423_at,0.534345822,,,,,,,,,,
39835_at,0.535926836,,,,,,,,,,
222962_s_at,0.536036648,,,,,,,,,,
201314_at,0.536152807,,,,,,,,,,
230028_at,0.536307773,,,,,,,,,,
206799_at,0.536365727,,,,,,,,,,
202910_s_at,0.536422447,,,,,,,,,,
1557078_at,0.536515995,,,,,,,,,,
242393_x_at,0.53686267,,,,,,,,,,
208580_x_at,0.536912345,,,,,,,,,,
200035_at,0.537931893,,,,,,,,,,
231059_x_at,0.538253212,,,,,,,,,,
222622_at,0.538798739,,,,,,,,,,
1552417_a_at,0.539076089,,,,,,,,,,
215281_x_at,0.540056684,,,,,,,,,,
233568_x_at,0.540135924,,,,,,,,,,
239735_at,0.540259285,,,,,,,,,,
218273_s_at,0.540260147,,,,,,,,,,
202147_s_at,0.540397152,,,,,,,,,,
1554106_at,0.540490167,,,,,,,,,,
208790_s_at,0.540566399,,,,,,,,,,
1558748_at,0.54147488,,,,,,,,,,
211542_x_at,0.541935443,,,,,,,,,,
201160_s_at,0.542512576,,,,,,,,,,
49077_at,0.542514554,,,,,,,,,,
215946_x_at,0.542740903,,,,,,,,,,
225648_at,0.542931633,,,,,,,,,,
225931_s_at,0.543239992,,,,,,,,,,
235729_at,0.543246956,,,,,,,,,,
210438_x_at,0.543265708,,,,,,,,,,
1553112_s_at,0.543366387,,,,,,,,,,
1558329_at,0.543413404,,,,,,,,,,
218234_at,0.543414118,,,,,,,,,,
233867_at,0.543416835,,,,,,,,,,
35201_at,0.543676449,,,,,,,,,,
217428_s_at,0.54368159,,,,,,,,,,
216336_x_at,0.543949484,,,,,,,,,,
214931_s_at,0.544085294,,,,,,,,,,
200594_x_at,0.544338977,,,,,,,,,,
202721_s_at,0.544803868,,,,,,,,,,
208523_x_at,0.544831728,,,,,,,,,,
235167_at,0.544969181,,,,,,,,,,
218821_at,0.545859153,,,,,,,,,,
206048_at,0.546487582,,,,,,,,,,
244414_at,0.546928333,,,,,,,,,,
222427_s_at,0.547063361,,,,,,,,,,
211699_x_at,0.547136726,,,,,,,,,,
226086_at,0.547402885,,,,,,,,,,
209458_x_at,0.547517792,,,,,,,,,,
207700_s_at,0.547570044,,,,,,,,,,
209279_s_at,0.547589357,,,,,,,,,,
209269_s_at,0.547883988,,,,,,,,,,
244341_at,0.547916776,,,,,,,,,,
242109_at,0.54846236,,,,,,,,,,
201189_s_at,0.548699469,,,,,,,,,,
209002_s_at,0.549013024,,,,,,,,,,
212313_at,0.54978026,,,,,,,,,,
217536_x_at,0.550302299,,,,,,,,,,
1557744_at,0.550490452,,,,,,,,,,
203882_at,0.550861764,,,,,,,,,,
210908_s_at,0.5511857,,,,,,,,,,
224807_at,0.551288437,,,,,,,,,,
214041_x_at,0.551904652,,,,,,,,,,
228487_s_at,0.551907578,,,,,,,,,,
225997_at,0.552190759,,,,,,,,,,
225150_s_at,0.552225278,,,,,,,,,,
229225_at,0.552466134,,,,,,,,,,
217457_s_at,0.552753703,,,,,,,,,,
1560339_s_at,0.552934409,,,,,,,,,,
1553185_at,0.553013642,,,,,,,,,,
206659_at,0.553057046,,,,,,,,,,
212003_at,0.553602061,,,,,,,,,,
208652_at,0.553714997,,,,,,,,,,
242024_at,0.554052578,,,,,,,,,,
224956_at,0.554304108,,,,,,,,,,
215558_at,0.555160008,,,,,,,,,,
222025_s_at,0.555733928,,,,,,,,,,
209276_s_at,0.556309989,,,,,,,,,,
211778_s_at,0.556324838,,,,,,,,,,
205572_at,0.557219348,,,,,,,,,,
209364_at,0.557320813,,,,,,,,,,
209820_s_at,0.557473543,,,,,,,,,,
200857_s_at,0.557509189,,,,,,,,,,
201715_s_at,0.557633086,,,,,,,,,,
202898_at,0.557837213,,,,,,,,,,
205393_s_at,0.55795656,,,,,,,,,,
235564_at,0.557978795,,,,,,,,,,
218027_at,0.558243916,,,,,,,,,,
232349_x_at,0.558600733,,,,,,,,,,
1556035_s_at,0.5590634,,,,,,,,,,
211596_s_at,0.559317795,,,,,,,,,,
203107_x_at,0.559846803,,,,,,,,,,
217808_s_at,0.559896815,,,,,,,,,,
225269_s_at,0.560119504,,,,,,,,,,
243820_at,0.560175945,,,,,,,,,,
224187_x_at,0.560493175,,,,,,,,,,
210235_s_at,0.560755014,,,,,,,,,,
232946_s_at,0.561026916,,,,,,,,,,
205443_at,0.561898901,,,,,,,,,,
208763_s_at,0.561991974,,,,,,,,,,
201798_s_at,0.562014925,,,,,,,,,,
209109_s_at,0.562032709,,,,,,,,,,
208451_s_at,0.562118466,,,,,,,,,,
201268_at,0.56217369,,,,,,,,,,
243158_at,0.562194367,,,,,,,,,,
201108_s_at,0.56291939,,,,,,,,,,
225918_at,0.563156068,,,,,,,,,,
236752_at,0.563314628,,,,,,,,,,
217962_at,0.563346745,,,,,,,,,,
212422_at,0.563392692,,,,,,,,,,
209195_s_at,0.563521055,,,,,,,,,,
214511_x_at,0.563821927,,,,,,,,,,
212092_at,0.563905964,,,,,,,,,,
217480_x_at,0.564145214,,,,,,,,,,
205334_at,0.564527882,,,,,,,,,,
214456_x_at,0.565056845,,,,,,,,,,
207711_at,0.565337384,,,,,,,,,,
232521_at,0.565338655,,,,,,,,,,
203600_s_at,0.565567122,,,,,,,,,,
219306_at,0.565608408,,,,,,,,,,
208952_s_at,0.565891149,,,,,,,,,,
1557689_at,0.566038151,,,,,,,,,,
202940_at,0.566092688,,,,,,,,,,
218164_at,0.566203051,,,,,,,,,,
221496_s_at,0.566302796,,,,,,,,,,
218391_at,0.566375198,,,,,,,,,,
202740_at,0.566499522,,,,,,,,,,
205123_s_at,0.567027564,,,,,,,,,,
1559883_s_at,0.567403997,,,,,,,,,,
210602_s_at,0.567618639,,,,,,,,,,
242737_at,0.567660003,,,,,,,,,,
212393_at,0.56897152,,,,,,,,,,
218696_at,0.569023344,,,,,,,,,,
220089_at,0.569316318,,,,,,,,,,
223018_at,0.569347663,,,,,,,,,,
1558027_s_at,0.570128057,,,,,,,,,,
219628_at,0.570317167,,,,,,,,,,
204962_s_at,0.570342435,,,,,,,,,,
223948_s_at,0.570810144,,,,,,,,,,
202068_s_at,0.571259784,,,,,,,,,,
221676_s_at,0.571798909,,,,,,,,,,
234735_s_at,0.572214821,,,,,,,,,,
1553139_s_at,0.572377708,,,,,,,,,,
1557224_at,0.572486164,,,,,,,,,,
206316_s_at,0.573136744,,,,,,,,,,
223128_at,0.573219526,,,,,,,,,,
201027_s_at,0.573358956,,,,,,,,,,
202262_x_at,0.57408372,,,,,,,,,,
208727_s_at,0.574131226,,,,,,,,,,
202238_s_at,0.574344404,,,,,,,,,,
229650_s_at,0.575114118,,,,,,,,,,
1559214_at,0.575247973,,,,,,,,,,
222372_at,0.575382553,,,,,,,,,,
227994_x_at,0.575738319,,,,,,,,,,
216022_at,0.575934497,,,,,,,,,,
222693_at,0.576228029,,,,,,,,,,
211358_s_at,0.576908412,,,,,,,,,,
203364_s_at,0.577849433,,,,,,,,,,
209709_s_at,0.578193157,,,,,,,,,,
222641_s_at,0.57835913,,,,,,,,,,
221311_x_at,0.57840059,,,,,,,,,,
209591_s_at,0.579443615,,,,,,,,,,
213479_at,0.579950065,,,,,,,,,,
1563471_at,0.580046819,,,,,,,,,,
1569110_x_at,0.580245046,,,,,,,,,,
225695_at,0.580268036,,,,,,,,,,
223934_at,0.580512145,,,,,,,,,,
208268_at,0.580940821,,,,,,,,,,
1555878_at,0.581034773,,,,,,,,,,
217659_at,0.581051755,,,,,,,,,,
239531_at,0.581210928,,,,,,,,,,
1558393_at,0.58131105,,,,,,,,,,
221706_s_at,0.581923334,,,,,,,,,,
203568_s_at,0.582012213,,,,,,,,,,
1559600_at,0.582308573,,,,,,,,,,
233300_at,0.582551477,,,,,,,,,,
242617_at,0.58255566,,,,,,,,,,
229256_at,0.582857472,,,,,,,,,,
225565_at,0.5829606,,,,,,,,,,
206661_at,0.583028888,,,,,,,,,,
201330_at,0.583268998,,,,,,,,,,
206574_s_at,0.58333975,,,,,,,,,,
202236_s_at,0.583357722,,,,,,,,,,
202820_at,0.583405722,,,,,,,,,,
211060_x_at,0.583525133,,,,,,,,,,
205750_at,0.583681126,,,,,,,,,,
121_at,0.583784167,,,,,,,,,,
229871_at,0.584007602,,,,,,,,,,
204361_s_at,0.584012192,,,,,,,,,,
210622_x_at,0.584838727,,,,,,,,,,
238769_at,0.585179335,,,,,,,,,,
229927_at,0.585481707,,,,,,,,,,
212188_at,0.585508892,,,,,,,,,,
216942_s_at,0.586324914,,,,,,,,,,
235113_at,0.586340981,,,,,,,,,,
236641_at,0.586407948,,,,,,,,,,
227051_at,0.586762686,,,,,,,,,,
209731_at,0.587100144,,,,,,,,,,
205836_s_at,0.587177565,,,,,,,,,,
226408_at,0.587867696,,,,,,,,,,
235646_at,0.588231937,,,,,,,,,,
201617_x_at,0.588246248,,,,,,,,,,
209041_s_at,0.588395686,,,,,,,,,,
232931_at,0.588405262,,,,,,,,,,
223219_s_at,0.588813866,,,,,,,,,,
211212_s_at,0.589119118,,,,,,,,,,
223343_at,0.589281308,,,,,,,,,,
202601_s_at,0.589633514,,,,,,,,,,
204545_at,0.589858943,,,,,,,,,,
206042_x_at,0.590271617,,,,,,,,,,
202737_s_at,0.590497187,,,,,,,,,,
221515_s_at,0.590522129,,,,,,,,,,
205218_at,0.590522466,,,,,,,,,,
216107_at,0.590824405,,,,,,,,,,
222506_at,0.591027104,,,,,,,,,,
215698_at,0.591155877,,,,,,,,,,
200596_s_at,0.591161803,,,,,,,,,,
231913_s_at,0.591183647,,,,,,,,,,
227091_at,0.591423755,,,,,,,,,,
206108_s_at,0.591747459,,,,,,,,,,
224598_at,0.592451866,,,,,,,,,,
201544_x_at,0.592484528,,,,,,,,,,
230848_s_at,0.592593305,,,,,,,,,,
220007_at,0.592859895,,,,,,,,,,
233127_at,0.592873769,,,,,,,,,,
213117_at,0.594115811,,,,,,,,,,
225853_at,0.59416837,,,,,,,,,,
227212_s_at,0.5945697,,,,,,,,,,
213448_at,0.594735551,,,,,,,,,,
225942_at,0.59476383,,,,,,,,,,
222441_x_at,0.594810244,,,,,,,,,,
235123_at,0.595083477,,,,,,,,,,
220387_s_at,0.595083481,,,,,,,,,,
201524_x_at,0.595279889,,,,,,,,,,
208696_at,0.595364232,,,,,,,,,,
222133_s_at,0.595622046,,,,,,,,,,
233473_x_at,0.596045072,,,,,,,,,,
1556589_at,0.596124276,,,,,,,,,,
35160_at,0.596126015,,,,,,,,,,
217216_x_at,0.596349584,,,,,,,,,,
217523_at,0.596496355,,,,,,,,,,
201165_s_at,0.596579029,,,,,,,,,,
238612_at,0.596689576,,,,,,,,,,
1552921_a_at,0.596763865,,,,,,,,,,
222145_at,0.596896759,,,,,,,,,,
215783_s_at,0.596901571,,,,,,,,,,
205600_x_at,0.596940615,,,,,,,,,,
1555334_s_at,0.597663518,,,,,,,,,,
241906_at,0.597795312,,,,,,,,,,
222645_s_at,0.597798582,,,,,,,,,,
203315_at,0.597817763,,,,,,,,,,
200663_at,0.59823708,,,,,,,,,,
209034_at,0.598312015,,,,,,,,,,
244808_at,0.59844917,,,,,,,,,,
227517_s_at,0.598752344,,,,,,,,,,
202649_x_at,0.599071272,,,,,,,,,,
212125_at,0.599169665,,,,,,,,,,
201478_s_at,0.599561722,,,,,,,,,,
200714_x_at,0.600049045,,,,,,,,,,
1566084_at,0.600695827,,,,,,,,,,
209372_x_at,0.60074364,,,,,,,,,,
1555725_a_at,0.600769983,,,,,,,,,,
230087_at,0.601279557,,,,,,,,,,
1569149_at,0.601349615,,,,,,,,,,
208319_s_at,0.601767054,,,,,,,,,,
1554154_at,0.602067701,,,,,,,,,,
203228_at,0.602309031,,,,,,,,,,
242108_at,0.602833144,,,,,,,,,,
200747_s_at,0.602941562,,,,,,,,,,
222572_at,0.603210053,,,,,,,,,,
58696_at,0.603238747,,,,,,,,,,
224936_at,0.603582012,,,,,,,,,,
238812_at,0.604182309,,,,,,,,,,
212561_at,0.604256632,,,,,,,,,,
221747_at,0.604336747,,,,,,,,,,
227400_at,0.604526087,,,,,,,,,,
209629_s_at,0.60459226,,,,,,,,,,
220985_s_at,0.60490868,,,,,,,,,,
212551_at,0.604922253,,,,,,,,,,
207829_s_at,0.60520206,,,,,,,,,,
214060_at,0.605342211,,,,,,,,,,
226021_at,0.605588559,,,,,,,,,,
224173_s_at,0.605813975,,,,,,,,,,
221381_s_at,0.606408875,,,,,,,,,,
202731_at,0.606949252,,,,,,,,,,
1564424_at,0.607104842,,,,,,,,,,
221838_at,0.607340989,,,,,,,,,,
209305_s_at,0.607514615,,,,,,,,,,
207971_s_at,0.607709234,,,,,,,,,,
1559776_at,0.607950872,,,,,,,,,,
242126_at,0.608272918,,,,,,,,,,
218831_s_at,0.608331178,,,,,,,,,,
218804_at,0.608387312,,,,,,,,,,
213788_s_at,0.60842984,,,,,,,,,,
240572_s_at,0.608463974,,,,,,,,,,
243131_x_at,0.608824046,,,,,,,,,,
203632_s_at,0.609220816,,,,,,,,,,
202527_s_at,0.609463111,,,,,,,,,,
1558290_a_at,0.609662751,,,,,,,,,,
203007_x_at,0.609971202,,,,,,,,,,
220651_s_at,0.610224682,,,,,,,,,,
34697_at,0.610290115,,,,,,,,,,
239151_at,0.610325366,,,,,,,,,,
234992_x_at,0.610435363,,,,,,,,,,
204474_at,0.610517692,,,,,,,,,,
202993_at,0.61064198,,,,,,,,,,
240552_at,0.610675517,,,,,,,,,,
203755_at,0.611006174,,,,,,,,,,
201890_at,0.611357659,,,,,,,,,,
217909_s_at,0.611425718,,,,,,,,,,
210859_x_at,0.611766502,,,,,,,,,,
214579_at,0.611803667,,,,,,,,,,
1559249_at,0.611831508,,,,,,,,,,
200896_x_at,0.611837648,,,,,,,,,,
202162_s_at,0.611969124,,,,,,,,,,
210992_x_at,0.612177597,,,,,,,,,,
242133_s_at,0.612676499,,,,,,,,,,
232322_x_at,0.612817383,,,,,,,,,,
201549_x_at,0.612855691,,,,,,,,,,
214433_s_at,0.612959519,,,,,,,,,,
201771_at,0.613018852,,,,,,,,,,
209190_s_at,0.613237694,,,,,,,,,,
204839_at,0.613401669,,,,,,,,,,
225002_s_at,0.613487095,,,,,,,,,,
220353_at,0.613648694,,,,,,,,,,
242224_at,0.613773076,,,,,,,,,,
208598_s_at,0.614106845,,,,,,,,,,
210878_s_at,0.614197814,,,,,,,,,,
240172_at,0.614372147,,,,,,,,,,
232079_s_at,0.614480006,,,,,,,,,,
222037_at,0.614508013,,,,,,,,,,
220052_s_at,0.614586615,,,,,,,,,,
228559_at,0.614693372,,,,,,,,,,
1565651_at,0.614762568,,,,,,,,,,
238788_at,0.615009847,,,,,,,,,,
224252_s_at,0.615023108,,,,,,,,,,
1552867_at,0.615049858,,,,,,,,,,
201604_s_at,0.615309421,,,,,,,,,,
212862_at,0.615361975,,,,,,,,,,
222581_at,0.615395651,,,,,,,,,,
233431_x_at,0.615442376,,,,,,,,,,
230970_at,0.615444051,,,,,,,,,,
202996_at,0.6155685,,,,,,,,,,
234975_at,0.616429777,,,,,,,,,,
202253_s_at,0.616459439,,,,,,,,,,
208851_s_at,0.616783565,,,,,,,,,,
208662_s_at,0.616958942,,,,,,,,,,
218067_s_at,0.617036517,,,,,,,,,,
215537_x_at,0.617518206,,,,,,,,,,
222653_at,0.617626369,,,,,,,,,,
221268_s_at,0.618136719,,,,,,,,,,
203422_at,0.618455595,,,,,,,,,,
201418_s_at,0.618532369,,,,,,,,,,
1556054_at,0.618732457,,,,,,,,,,
223307_at,0.618902883,,,,,,,,,,
226470_at,0.619046094,,,,,,,,,,
1554152_a_at,0.619083705,,,,,,,,,,
221971_x_at,0.619409953,,,,,,,,,,
200841_s_at,0.619515949,,,,,,,,,,
202768_at,0.620128873,,,,,,,,,,
202632_at,0.620773242,,,,,,,,,,
211395_x_at,0.621113119,,,,,,,,,,
231938_at,0.621270058,,,,,,,,,,
202696_at,0.621449116,,,,,,,,,,
207172_s_at,0.621535273,,,,,,,,,,
217836_s_at,0.621572525,,,,,,,,,,
239453_at,0.621679258,,,,,,,,,,
240399_at,0.621843619,,,,,,,,,,
233292_s_at,0.621965976,,,,,,,,,,
202109_at,0.622459813,,,,,,,,,,
235134_at,0.623239073,,,,,,,,,,
209083_at,0.623420298,,,,,,,,,,
232584_at,0.623547676,,,,,,,,,,
202049_s_at,0.623795862,,,,,,,,,,
233940_at,0.624021101,,,,,,,,,,
200083_at,0.624317401,,,,,,,,,,
208642_s_at,0.625017223,,,,,,,,,,
241769_at,0.625225349,,,,,,,,,,
218932_at,0.625560569,,,,,,,,,,
214710_s_at,0.625667906,,,,,,,,,,
223344_s_at,0.625709029,,,,,,,,,,
225657_at,0.625912461,,,,,,,,,,
232522_at,0.626144543,,,,,,,,,,
204554_at,0.626574644,,,,,,,,,,
205253_at,0.626724053,,,,,,,,,,
203438_at,0.626805376,,,,,,,,,,
210513_s_at,0.626844207,,,,,,,,,,
233307_x_at,0.626874674,,,,,,,,,,
217947_at,0.627110278,,,,,,,,,,
224760_at,0.627384475,,,,,,,,,,
1556397_at,0.628335051,,,,,,,,,,
213899_at,0.628379083,,,,,,,,,,
204653_at,0.628688884,,,,,,,,,,
210131_x_at,0.628706595,,,,,,,,,,
225468_at,0.629269819,,,,,,,,,,
1552978_a_at,0.629364592,,,,,,,,,,
214894_x_at,0.629750612,,,,,,,,,,
1555255_a_at,0.629777774,,,,,,,,,,
228337_at,0.630339406,,,,,,,,,,
235819_at,0.630399921,,,,,,,,,,
219221_at,0.630406663,,,,,,,,,,
1557905_s_at,0.630618143,,,,,,,,,,
212290_at,0.630782973,,,,,,,,,,
203802_x_at,0.63101465,,,,,,,,,,
221925_s_at,0.631333815,,,,,,,,,,
222854_s_at,0.632155358,,,,,,,,,,
236460_at,0.632269814,,,,,,,,,,
226429_at,0.632314259,,,,,,,,,,
204050_s_at,0.632623182,,,,,,,,,,
201342_at,0.632731001,,,,,,,,,,
218498_s_at,0.632815045,,,,,,,,,,
208120_x_at,0.633200312,,,,,,,,,,
203943_at,0.63332689,,,,,,,,,,
203452_at,0.633644648,,,,,,,,,,
234915_s_at,0.634442475,,,,,,,,,,
201983_s_at,0.634707339,,,,,,,,,,
202744_at,0.634898446,,,,,,,,,,
234710_s_at,0.634905016,,,,,,,,,,
213649_at,0.635268997,,,,,,,,,,
212541_at,0.635405403,,,,,,,,,,
231502_at,0.635498782,,,,,,,,,,
239171_at,0.635850107,,,,,,,,,,
210761_s_at,0.63586668,,,,,,,,,,
204163_at,0.636250528,,,,,,,,,,
242646_at,0.636463258,,,,,,,,,,
210170_at,0.63664657,,,,,,,,,,
226790_at,0.636696723,,,,,,,,,,
219156_at,0.636959115,,,,,,,,,,
209052_s_at,0.637056962,,,,,,,,,,
200844_s_at,0.63768833,,,,,,,,,,
227725_at,0.637959771,,,,,,,,,,
201353_s_at,0.638023902,,,,,,,,,,
241838_at,0.638105804,,,,,,,,,,
224830_at,0.638168773,,,,,,,,,,
223568_s_at,0.638675297,,,,,,,,,,
201995_at,0.638878632,,,,,,,,,,
223438_s_at,0.639611907,,,,,,,,,,
1554390_s_at,0.639751025,,,,,,,,,,
222746_s_at,0.639837791,,,,,,,,,,
214657_s_at,0.640145122,,,,,,,,,,
203005_at,0.64029525,,,,,,,,,,
210554_s_at,0.640565401,,,,,,,,,,
229001_at,0.640852266,,,,,,,,,,
218175_at,0.640854962,,,,,,,,,,
217179_x_at,0.640905009,,,,,,,,,,
55093_at,0.640962118,,,,,,,,,,
1557169_x_at,0.641141943,,,,,,,,,,
220176_at,0.6412446,,,,,,,,,,
1554408_a_at,0.641412997,,,,,,,,,,
233982_x_at,0.641601918,,,,,,,,,,
201321_s_at,0.641847872,,,,,,,,,,
201624_at,0.641934998,,,,,,,,,,
210076_x_at,0.642432727,,,,,,,,,,
210216_x_at,0.642465933,,,,,,,,,,
205512_s_at,0.642488562,,,,,,,,,,
238750_at,0.642908219,,,,,,,,,,
221744_at,0.64300936,,,,,,,,,,
209247_s_at,0.643039056,,,,,,,,,,
224883_at,0.643231688,,,,,,,,,,
229236_s_at,0.643404533,,,,,,,,,,
203530_s_at,0.643673423,,,,,,,,,,
224992_s_at,0.643797309,,,,,,,,,,
229842_at,0.643936438,,,,,,,,,,
229841_at,0.644280998,,,,,,,,,,
201488_x_at,0.644441034,,,,,,,,,,
1556732_at,0.64460111,,,,,,,,,,
213566_at,0.644736229,,,,,,,,,,
1554462_a_at,0.644755352,,,,,,,,,,
239251_at,0.644760662,,,,,,,,,,
225766_s_at,0.644883745,,,,,,,,,,
205977_s_at,0.645403189,,,,,,,,,,
203155_at,0.645674506,,,,,,,,,,
219631_at,0.64581305,,,,,,,,,,
205361_s_at,0.646287176,,,,,,,,,,
201311_s_at,0.646448408,,,,,,,,,,
218788_s_at,0.646832926,,,,,,,,,,
201755_at,0.646924304,,,,,,,,,,
208078_s_at,0.647433463,,,,,,,,,,
221942_s_at,0.647476412,,,,,,,,,,
203254_s_at,0.647494435,,,,,,,,,,
200965_s_at,0.64762966,,,,,,,,,,
202878_s_at,0.647631133,,,,,,,,,,
209148_at,0.647878401,,,,,,,,,,
202635_s_at,0.648151596,,,,,,,,,,
207563_s_at,0.648352677,,,,,,,,,,
218190_s_at,0.64890612,,,,,,,,,,
221503_s_at,0.649041387,,,,,,,,,,
202320_at,0.649146326,,,,,,,,,,
218856_at,0.649390189,,,,,,,,,,
206959_s_at,0.649439733,,,,,,,,,,
201281_at,0.649637252,,,,,,,,,,
37424_at,0.649675327,,,,,,,,,,
232544_at,0.650149703,,,,,,,,,,
209044_x_at,0.650485037,,,,,,,,,,
229817_at,0.650880184,,,,,,,,,,
221517_s_at,0.650908845,,,,,,,,,,
1560562_a_at,0.650997021,,,,,,,,,,
205342_s_at,0.651385789,,,,,,,,,,
213993_at,0.651891592,,,,,,,,,,
235852_at,0.65202924,,,,,,,,,,
218563_at,0.652237179,,,,,,,,,,
1557751_at,0.652641465,,,,,,,,,,
229490_s_at,0.652681182,,,,,,,,,,
224565_at,0.653069988,,,,,,,,,,
204658_at,0.653229391,,,,,,,,,,
224790_at,0.653451675,,,,,,,,,,
209239_at,0.654059309,,,,,,,,,,
207191_s_at,0.654113137,,,,,,,,,,
212669_at,0.654139304,,,,,,,,,,
201136_at,0.654316369,,,,,,,,,,
208915_s_at,0.654511532,,,,,,,,,,
202925_s_at,0.655027442,,,,,,,,,,
223289_s_at,0.655084106,,,,,,,,,,
223144_s_at,0.655163634,,,,,,,,,,
215201_at,0.655315704,,,,,,,,,,
201718_s_at,0.655345644,,,,,,,,,,
227658_s_at,0.655431215,,,,,,,,,,
231874_at,0.655666606,,,,,,,,,,
218117_at,0.656037083,,,,,,,,,,
221664_s_at,0.656050545,,,,,,,,,,
233929_x_at,0.65621762,,,,,,,,,,
202902_s_at,0.656255377,,,,,,,,,,
215050_x_at,0.656482792,,,,,,,,,,
239442_at,0.656490055,,,,,,,,,,
212552_at,0.656631417,,,,,,,,,,
227094_at,0.65706202,,,,,,,,,,
206050_s_at,0.657114334,,,,,,,,,,
201675_at,0.657313591,,,,,,,,,,
222580_at,0.657398427,,,,,,,,,,
218046_s_at,0.657413224,,,,,,,,,,
229533_x_at,0.657857196,,,,,,,,,,
225723_at,0.657905714,,,,,,,,,,
208736_at,0.657976512,,,,,,,,,,
223003_at,0.658187254,,,,,,,,,,
213008_at,0.658269921,,,,,,,,,,
1558761_a_at,0.658474882,,,,,,,,,,
208595_s_at,0.658513933,,,,,,,,,,
AFFX-r2-Bs-lys-M_at,0.658617716,,,,,,,,,,
242725_at,0.658743678,,,,,,,,,,
225832_s_at,0.658825739,,,,,,,,,,
225751_at,0.659036059,,,,,,,,,,
218232_at,0.660006498,,,,,,,,,,
221123_x_at,0.660602012,,,,,,,,,,
232423_at,0.660612698,,,,,,,,,,
201279_s_at,0.660940755,,,,,,,,,,
211454_x_at,0.661283103,,,,,,,,,,
1557585_at,0.661326309,,,,,,,,,,
1558142_at,0.661516349,,,,,,,,,,
242052_at,0.661903976,,,,,,,,,,
209158_s_at,0.662658804,,,,,,,,,,
242431_at,0.662954363,,,,,,,,,,
1557505_a_at,0.663104405,,,,,,,,,,
223420_at,0.66319356,,,,,,,,,,
208686_s_at,0.663887411,,,,,,,,,,
226987_at,0.664073964,,,,,,,,,,
203346_s_at,0.664378017,,,,,,,,,,
205127_at,0.664591587,,,,,,,,,,
235545_at,0.665225401,,,,,,,,,,
204147_s_at,0.666264638,,,,,,,,,,
AFFX-PheX-5_at,0.667062772,,,,,,,,,,
204460_s_at,0.667325368,,,,,,,,,,
212560_at,0.667856041,,,,,,,,,,
1554890_a_at,0.667886669,,,,,,,,,,
1566901_at,0.667937209,,,,,,,,,,
206972_s_at,0.668098334,,,,,,,,,,
207605_x_at,0.668386623,,,,,,,,,,
228144_at,0.668856843,,,,,,,,,,
202535_at,0.668994516,,,,,,,,,,
209782_s_at,0.669614962,,,,,,,,,,
231883_at,0.66992647,,,,,,,,,,
226414_s_at,0.670020299,,,,,,,,,,
202079_s_at,0.670068986,,,,,,,,,,
202982_s_at,0.670289408,,,,,,,,,,
231837_at,0.671365456,,,,,,,,,,
208800_at,0.671403641,,,,,,,,,,
1556182_x_at,0.671484377,,,,,,,,,,
223849_s_at,0.671509629,,,,,,,,,,
223431_at,0.672117707,,,,,,,,,,
211578_s_at,0.672121431,,,,,,,,,,
215750_at,0.672198816,,,,,,,,,,
242890_at,0.67226687,,,,,,,,,,
230795_at,0.672645702,,,,,,,,,,
209932_s_at,0.672656125,,,,,,,,,,
1552368_at,0.673128393,,,,,,,,,,
211255_x_at,0.673471642,,,,,,,,,,
214048_at,0.673698616,,,,,,,,,,
219332_at,0.67406044,,,,,,,,,,
212523_s_at,0.67423546,,,,,,,,,,
206918_s_at,0.674323548,,,,,,,,,,
222387_s_at,0.674472846,,,,,,,,,,
1554456_a_at,0.674593487,,,,,,,,,,
220633_s_at,0.67526432,,,,,,,,,,
211641_x_at,0.675334493,,,,,,,,,,
220789_s_at,0.675626909,,,,,,,,,,
203104_at,0.67568719,,,,,,,,,,
215177_s_at,0.67625877,,,,,,,,,,
219881_s_at,0.676795255,,,,,,,,,,
228196_s_at,0.676811243,,,,,,,,,,
219637_at,0.677197372,,,,,,,,,,
213880_at,0.677204646,,,,,,,,,,
207556_s_at,0.677354176,,,,,,,,,,
216401_x_at,0.678694649,,,,,,,,,,
201376_s_at,0.678745523,,,,,,,,,,
222408_s_at,0.678759018,,,,,,,,,,
225161_at,0.678811002,,,,,,,,,,
234149_at,0.678827023,,,,,,,,,,
218890_x_at,0.679118981,,,,,,,,,,
243814_at,0.679378498,,,,,,,,,,
213470_s_at,0.679396728,,,,,,,,,,
202071_at,0.679412104,,,,,,,,,,
230370_x_at,0.679432275,,,,,,,,,,
241509_at,0.679601219,,,,,,,,,,
212789_at,0.680018389,,,,,,,,,,
235884_at,0.680092503,,,,,,,,,,
202374_s_at,0.680125749,,,,,,,,,,
204867_at,0.680668761,,,,,,,,,,
217999_s_at,0.680723478,,,,,,,,,,
223216_x_at,0.680735688,,,,,,,,,,
205533_s_at,0.680789835,,,,,,,,,,
206636_at,0.680929318,,,,,,,,,,
AFFX-HUMISGF3A/M97935_5_at,0.680931712,,,,,,,,,,
233177_s_at,0.681176139,,,,,,,,,,
229982_at,0.681192539,,,,,,,,,,
