,x,,,,214290_s_at,ACAA1,2.340004946,,,,
211433_x_at,-5.571618388,,,,,,,,,,
204104_at,-5.57056766,,,,,,,,,,
235732_at,-5.557745658,,,,,,,,,,
222363_at,-5.552938683,,,,,,,,,,
243318_at,-5.55207847,,,,,,,,,,
222716_s_at,-5.547839174,,,,,,,,,,
229459_at,-5.545990982,,,,,,,,,,
225937_at,-5.545698947,,,,,,,,,,
204379_s_at,-5.54390257,,,,,,,,,,
1553178_a_at,-5.542286897,,,,,,,,,,
232858_at,-5.521510237,,,,,,,,,,
226188_at,-5.520158664,,,,,,,,,,
208492_at,-5.51920789,,,,,,,,,,
226817_at,-5.518062739,,,,,,,,,,
204296_at,-5.50806104,,,,,,,,,,
207728_at,-5.505303703,,,,,,,,,,
218956_s_at,-5.503214136,,,,,,,,,,
1554093_a_at,-5.500590768,,,,,,,,,,
203183_s_at,-5.499504365,,,,,,,,,,
238114_at,-5.492264541,,,,,,,,,,
208227_x_at,-5.477074267,,,,,,,,,,
218638_s_at,-5.472962206,,,,,,,,,,
201076_at,-5.468798885,,,,,,,,,,
229802_at,-5.465571138,,,,,,,,,,
229518_at,-5.46444782,,,,,,,,,,
1570511_at,-5.462134939,,,,,,,,,,
207168_s_at,-5.456362706,,,,,,,,,,
234006_s_at,-5.43461735,,,,,,,,,,
223833_at,-5.433379772,,,,,,,,,,
227578_at,-5.433320397,,,,,,,,,,
215160_x_at,-5.433151329,,,,,,,,,,
209963_s_at,-5.429210974,,,,,,,,,,
212509_s_at,-5.423877149,,,,,,,,,,
203099_s_at,-5.422802401,,,,,,,,,,
241832_at,-5.420555535,,,,,,,,,,
234109_x_at,-5.417474198,,,,,,,,,,
241480_at,-5.415375943,,,,,,,,,,
226740_x_at,-5.411224491,,,,,,,,,,
208542_x_at,-5.406401151,,,,,,,,,,
219853_at,-5.398670829,,,,,,,,,,
218651_s_at,-5.398328502,,,,,,,,,,
1558688_at,-5.397611225,,,,,,,,,,
233475_at,-5.395041789,,,,,,,,,,
218910_at,-5.388590667,,,,,,,,,,
222644_s_at,-5.380522046,,,,,,,,,,
209336_at,-5.379984523,,,,,,,,,,
214467_at,-5.379815762,,,,,,,,,,
235026_at,-5.377134397,,,,,,,,,,
208394_x_at,-5.376311697,,,,,,,,,,
203446_s_at,-5.365006625,,,,,,,,,,
205903_s_at,-5.363313621,,,,,,,,,,
1561329_s_at,-5.362262024,,,,,,,,,,
204169_at,-5.360356171,,,,,,,,,,
201465_s_at,-5.36006034,,,,,,,,,,
230521_at,-5.359152054,,,,,,,,,,
238758_at,-5.358740536,,,,,,,,,,
210510_s_at,-5.357605142,,,,,,,,,,
224937_at,-5.351887453,,,,,,,,,,
241732_at,-5.351448685,,,,,,,,,,
240331_at,-5.341896306,,,,,,,,,,
213027_at,-5.333791583,,,,,,,,,,
244698_at,-5.329376212,,,,,,,,,,
227825_at,-5.317550898,,,,,,,,,,
215983_s_at,-5.317476734,,,,,,,,,,
240270_x_at,-5.312154715,,,,,,,,,,
235965_at,-5.311617252,,,,,,,,,,
1554105_at,-5.305508701,,,,,,,,,,
1554480_a_at,-5.30232232,,,,,,,,,,
1554015_a_at,-5.30133015,,,,,,,,,,
222681_at,-5.295323044,,,,,,,,,,
1568678_s_at,-5.292680557,,,,,,,,,,
1557409_at,-5.291650462,,,,,,,,,,
228981_at,-5.286856451,,,,,,,,,,
211432_s_at,-5.2829687,,,,,,,,,,
242961_x_at,-5.277713332,,,,,,,,,,
203047_at,-5.27502453,,,,,,,,,,
206652_at,-5.272495645,,,,,,,,,,
231360_at,-5.270957144,,,,,,,,,,
214562_at,-5.270830614,,,,,,,,,,
218281_at,-5.26779356,,,,,,,,,,
226839_at,-5.257094859,,,,,,,,,,
202970_at,-5.25600038,,,,,,,,,,
209126_x_at,-5.248250413,,,,,,,,,,
222016_s_at,-5.24734901,,,,,,,,,,
220762_s_at,-5.2448893,,,,,,,,,,
202023_at,-5.243801002,,,,,,,,,,
1553099_at,-5.243589982,,,,,,,,,,
1567213_at,-5.235526463,,,,,,,,,,
244546_at,-5.223833023,,,,,,,,,,
212548_s_at,-5.22215786,,,,,,,,,,
200998_s_at,-5.220391521,,,,,,,,,,
219076_s_at,-5.215883599,,,,,,,,,,
223342_at,-5.212227478,,,,,,,,,,
238714_at,-5.212055128,,,,,,,,,,
1566152_a_at,-5.211464358,,,,,,,,,,
227582_at,-5.210899254,,,,,,,,,,
223808_s_at,-5.210895825,,,,,,,,,,
242396_at,-5.203724273,,,,,,,,,,
206506_s_at,-5.198044425,,,,,,,,,,
203195_s_at,-5.195999457,,,,,,,,,,
227870_at,-5.195549625,,,,,,,,,,
225962_at,-5.193422442,,,,,,,,,,
213035_at,-5.191520602,,,,,,,,,,
212240_s_at,-5.173414138,,,,,,,,,,
243584_at,-5.172677975,,,,,,,,,,
1553717_at,-5.160702351,,,,,,,,,,
1569354_at,-5.1563002,,,,,,,,,,
238474_at,-5.155685726,,,,,,,,,,
235995_at,-5.152254547,,,,,,,,,,
218192_at,-5.144513651,,,,,,,,,,
1553627_s_at,-5.140510359,,,,,,,,,,
221556_at,-5.139162358,,,,,,,,,,
217519_at,-5.135802302,,,,,,,,,,
219530_at,-5.134456713,,,,,,,,,,
202667_s_at,-5.128669631,,,,,,,,,,
203353_s_at,-5.123987059,,,,,,,,,,
230626_at,-5.116880608,,,,,,,,,,
222516_at,-5.114911884,,,,,,,,,,
204483_at,-5.112285618,,,,,,,,,,
227264_at,-5.103831151,,,,,,,,,,
214377_s_at,-5.10223016,,,,,,,,,,
219105_x_at,-5.10211343,,,,,,,,,,
1559204_x_at,-5.100228998,,,,,,,,,,
232048_at,-5.095757166,,,,,,,,,,
203356_at,-5.093896747,,,,,,,,,,
211297_s_at,-5.092316754,,,,,,,,,,
238201_at,-5.076734141,,,,,,,,,,
207305_s_at,-5.073566453,,,,,,,,,,
224749_at,-5.072708802,,,,,,,,,,
238877_at,-5.067506562,,,,,,,,,,
205095_s_at,-5.062211627,,,,,,,,,,
1566442_at,-5.050332991,,,,,,,,,,
212250_at,-5.049410736,,,,,,,,,,
208392_x_at,-5.048276169,,,,,,,,,,
224378_x_at,-5.040067158,,,,,,,,,,
222635_s_at,-5.038307881,,,,,,,,,,
219548_at,-5.030697106,,,,,,,,,,
226550_at,-5.028947216,,,,,,,,,,
212301_at,-5.026185324,,,,,,,,,,
222525_s_at,-5.021716811,,,,,,,,,,
216663_s_at,-5.019638148,,,,,,,,,,
222689_at,-5.012809217,,,,,,,,,,
201167_x_at,-5.007397406,,,,,,,,,,
1552337_s_at,-4.99611566,,,,,,,,,,
221954_at,-4.991293302,,,,,,,,,,
219078_at,-4.990950264,,,,,,,,,,
205760_s_at,-4.989123563,,,,,,,,,,
209930_s_at,-4.983071169,,,,,,,,,,
215532_x_at,-4.972523509,,,,,,,,,,
1563902_at,-4.971146524,,,,,,,,,,
216944_s_at,-4.957073251,,,,,,,,,,
241650_x_at,-4.956676676,,,,,,,,,,
222846_at,-4.954861572,,,,,,,,,,
234045_x_at,-4.954283325,,,,,,,,,,
201595_s_at,-4.951911069,,,,,,,,,,
1563792_at,-4.947545017,,,,,,,,,,
208954_s_at,-4.943729637,,,,,,,,,,
210085_s_at,-4.941717461,,,,,,,,,,
1553303_at,-4.937674369,,,,,,,,,,
240723_at,-4.93415164,,,,,,,,,,
203112_s_at,-4.929971964,,,,,,,,,,
221779_at,-4.925185215,,,,,,,,,,
238524_at,-4.925145816,,,,,,,,,,
222566_at,-4.921482369,,,,,,,,,,
231024_at,-4.913920712,,,,,,,,,,
244592_at,-4.911772209,,,,,,,,,,
243066_at,-4.908586855,,,,,,,,,,
202651_at,-4.906924079,,,,,,,,,,
219378_at,-4.905436702,,,,,,,,,,
206861_s_at,-4.90445897,,,,,,,,,,
242008_at,-4.903550627,,,,,,,,,,
