,Patient 1,Patient 2,Patient 3,Patient 4,Patient 5,Patient 6,Patient 7,Patient 8,Patient 9,Patient 10,Patient 11,Patient 12,Patient 13,Patient 14,Patient 15,Patient 16,Patient 17,Patient 18,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6,Control 7,Control 8,Control 9,Control 10,Control 11,Control 12,Control 13,Control 14,Control 15,Control 16,Control 17,Control 18,Control 19
CDR1,10.71055546,8.721677179,10.80685181,9.950732179,9.129634348,9.89857779,10.52668002,9.307799303,10.81843607,10.38649081,11.74046627,10.79862153,9.672404123,9.895846966,10.08900181,10.86370142,7.695761286,11.35594271,5.025808585,5.620387808,6.113863588,5.999265146,5.487604766,3.505644169,5.029295472,5.658243721,4.41205651,5.828541265,6.02859155,5.262387362,4.542380479,7.422133435,5.616863971,7.279541518,4.064353711,4.132483333,2.969772879
BAG3,3.453414047,3.901104256,3.087113008,4.224994153,3.954718303,3.746904832,3.471271564,3.432997533,3.819796614,3.245361868,3.443539942,3.675215163,3.834355246,3.42064925,3.400372533,3.482631295,3.738509528,3.374672782,6.345907948,6.844116063,5.517636106,6.159657776,6.155441197,5.102143846,4.135875298,6.306242137,6.60028215,4.71491435,6.115142503,6.585589816,6.71057924,6.121184176,5.91612429,6.297729613,6.534711645,6.410271844,5.780535422
Tre-2 oncogene,4.163661822,4.332754908,4.01715772,4.461664549,4.630267515,4.269701563,4.05043567,4.190390097,4.0345629,4.111792949,4.337161733,4.02797872,4.594275678,3.993493798,4.081077973,3.887887535,3.952379522,4.373766744,3.547420704,2.92556019,3.746398714,3.150774491,3.537235139,3.269349319,3.459694984,3.777335878,4.056056587,4.391441837,3.488680888,3.927002479,3.409294634,3.060821869,3.25217422,3.228109459,3.86518854,2.957649165,3.561496416
PABA peptide hydrolase,6.409390556,6.400375831,7.006919924,5.862129877,6.745755116,6.539443184,5.997814396,6.768086215,6.187163963,5.932144989,6.434938858,5.99000305,5.745557724,6.833304342,6.620629674,6.257037247,6.820414649,5.945624379,3.798336414,3.926597642,3.58141271,3.637486681,4.024161117,4.093770029,3.906941043,4.291708931,4.31394493,4.212465142,4.126611452,4.092560355,4.441096509,3.807844205,3.696727231,3.852311324,4.399629336,3.758576324,4.079141023
ARHGEF,6.747768946,6.74226752,6.946986757,6.530531939,6.940788831,6.82922479,6.756070962,7.197966452,6.600730282,6.960972418,6.36643692,7.046202078,6.777988289,7.19181423,6.816114511,6.92229018,7.204714886,6.682116975,6.898771311,7.696616841,6.916996808,6.810761375,6.955258147,6.912193679,7.416335736,6.944059211,6.404763698,6.446976463,6.530733473,6.918536494,6.087022293,6.701942176,6.613995407,7.168966378,6.835756584,7.244967099,6.764194086
TUBA1B,4.567369217,5.32148478,6.291086111,4.870526958,7.980486306,7.195847319,3.491725886,6.378622338,3.301368754,6.17343257,7.858914768,3.587361542,2.939214824,5.688180671,3.762243967,5.063185273,5.525860551,5.166778103,7.184431703,6.707788196,6.657803043,6.988227177,6.6833588,6.981460354,7.106926206,7.197178489,6.676843975,6.709127941,6.91530217,6.623967257,6.800039157,6.502519644,6.683546541,6.572191295,6.809836053,6.703111204,6.915837402
ovalbumin,6.474577841,6.550182685,5.972264641,6.706272662,6.909597689,6.227376384,6.338644631,6.428762199,6.805021965,6.141023659,6.449115719,6.154036958,6.795018528,5.925251578,6.37930003,6.097552567,5.93840075,6.571796526,4.816445603,4.164955406,4.146205097,4.237942469,5.224741183,4.708031298,4.414447195,4.847507139,5.20879315,3.894741432,4.457565024,5.293618379,5.97225802,4.781297152,4.780461982,4.883930236,4.406185173,4.531920279,4.83294506
MMP23B,4.992050388,4.466328332,4.429129595,5.832473621,5.107355837,4.941628518,4.469543542,4.44054627,4.428219416,4.325689035,4.35839423,4.446387905,5.368922683,4.056399049,4.307712437,4.383344015,3.72155695,4.933551241,6.055029141,5.757100202,6.052072132,5.79435728,6.367025979,5.92088461,5.818981863,5.940124605,6.5574266,6.545938145,6.375405512,6.508697958,6.378764954,6.0491376,6.041454219,5.556179147,6.49735792,5.754337662,6.344371569
ZNF80,6.230134225,6.208058992,5.968366389,6.426773925,6.126863118,5.785444483,6.258845519,6.158191834,6.273411008,5.93888662,6.095823903,5.802429633,6.356074592,5.644969262,6.259956172,5.871523027,6.140856955,6.034165848,3.700205099,3.403351407,4.194757607,4.102115058,3.843166253,3.960747578,3.429697336,4.353412344,5.250616825,4.040854163,4.559778857,5.218001765,5.903940043,4.221018464,4.281757023,3.784894705,3.870903306,3.419765813,3.996294269
LDOC1,6.232094777,6.074999483,5.969414255,6.147346456,6.195294846,5.842929269,5.551315414,6.012241262,5.968317712,6.04317139,6.666701246,5.608772188,6.365951475,5.666472265,6.135904255,5.517596194,5.918465465,6.222255016,6.169660288,6.116829541,5.913690298,5.924012047,5.99979056,6.247272109,6.232501669,5.991632124,6.065972817,6.000049167,6.085142108,6.135186647,5.921460822,5.893490268,5.924149482,5.853821108,6.180839179,6.251142711,6.272401252
